image_path,label_path,image_width,image_height,max_side,larger_than_640,num_objects,num_pothole,num_crack,num_manhole,has_pothole,has_crack,has_manhole
data/raw/data/images/vlcsnap-2025-02-26-20h36m16s207.jpg,data/raw/data/labels/vlcsnap-2025-02-26-20h36m16s207.txt,640,360,640,0,2,0,2,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-19-14h08m40s522.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h08m40s522.txt,640,360,640,0,1,0,0,1,0,0,1
data/raw/data/images/vlcsnap-00203.jpg,data/raw/data/labels/vlcsnap-00203.txt,640,360,640,0,1,0,1,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-26-20h34m12s466.jpg,data/raw/data/labels/vlcsnap-2025-02-26-20h34m12s466.txt,640,360,640,0,2,0,1,1,0,1,1
data/raw/data/images/vlcsnap-2025-02-26-20h33m59s062.jpg,data/raw/data/labels/vlcsnap-2025-02-26-20h33m59s062.txt,640,360,640,0,4,0,2,2,0,1,1
data/raw/data/images/vlcsnap-2025-02-18-18h42m45s663.jpg,data/raw/data/labels/vlcsnap-2025-02-18-18h42m45s663.txt,640,360,640,0,3,0,3,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-19-14h15m39s290.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h15m39s290.txt,640,360,640,0,1,0,0,1,0,0,1
data/raw/data/images/vlcsnap-2025-02-18-23h10m44s955.jpg,data/raw/data/labels/vlcsnap-2025-02-18-23h10m44s955.txt,640,360,640,0,2,0,2,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-18-23h24m29s314.jpg,data/raw/data/labels/vlcsnap-2025-02-18-23h24m29s314.txt,640,360,640,0,4,1,3,0,1,1,0
data/raw/data/images/vlcsnap-2025-02-19-14h19m00s660.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h19m00s660.txt,640,360,640,0,6,0,3,3,0,1,1
data/raw/data/images/vlcsnap-2025-02-18-23h07m46s200.jpg,data/raw/data/labels/vlcsnap-2025-02-18-23h07m46s200.txt,640,360,640,0,1,0,1,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-19-14h50m11s149.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h50m11s149.txt,640,360,640,0,1,0,0,1,0,0,1
data/raw/data/images/vlcsnap-00106.jpg,data/raw/data/labels/vlcsnap-00106.txt,640,360,640,0,2,0,2,0,0,1,0
data/raw/data/images/vlcsnap-2025-02-18-18h33m14s420.jpg,data/raw/data/labels/vlcsnap-2025-02-18-18h33m14s420.txt,640,360,640,0,1,1,0,0,1,0,0
data/raw/data/images/vlcsnap_2025-03-16-15h14m38s784.jpg,data/raw/data/labels/vlcsnap_2025-03-16-15h14m38s784.txt,640,360,640,0,2,1,1,0,1,1,0
data/raw/data/images/vlcsnap_2025-03-16-15h14m41s830.jpg,data/raw/data/labels/vlcsnap_2025-03-16-15h14m41s830.txt,640,360,640,0,2,0,1,1,0,1,1
data/raw/data/images/vlcsnap-2025-02-18-23h10m48s405.jpg,data/raw/data/labels/vlcsnap-2025-02-18-23h10m48s405.txt,640,360,640,0,3,1,1,1,1,1,1
data/raw/data/images/vlcsnap-2025-02-18-17h06m01s508.jpg,data/raw/data/labels/vlcsnap-2025-02-18-17h06m01s508.txt,640,360,640,0,3,0,2,1,0,1,1
data/raw/data/images/vlcsnap-2025-02-26-20h32m11s661.jpg,data/raw/data/labels/vlcsnap-2025-02-26-20h32m11s661.txt,640,360,640,0,2,0,0,2,0,0,1
data/raw/data/images/vlcsnap-2025-02-19-15h11m16s693.jpg,data/raw/data/labels/vlcsnap-2025-02-19-15h11m16s693.txt,640,360,640,0,5,3,2,0,1,1,0
data/raw/data/images/vlcsnap-2025-02-19-14h15m37s010.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h15m37s010.txt,640,360,640,0,1,0,0,1,0,0,1
data/raw/data/images/vlcsnap-2025-02-18-18h32m57s772.jpg,data/raw/data/labels/vlcsnap-2025-02-18-18h32m57s772.txt,640,360,640,0,3,0,2,1,0,1,1
data/raw/data/images/vlcsnap-2025-02-19-14h22m06s610.jpg,data/raw/data/labels/vlcsnap-2025-02-19-14h22m06s610.txt,640,360,640,0,5,3,2,0,1,1,0
data/raw/data/images/vlcsnap-2025-02-18-18h36m45s242.jpg,data/raw/data/labels/vlcsnap-2025-02-18-18h36m45s242.txt,640,360,640,0,2,0,1,1,0,1,1
